Sigma,D_ACF,D,Nf,lmax
0,1.0506725393398,1.05032918497571,34110.4292593922,20686.2803734225
0.00502020202020202,1.12819078678557,1.12770553593951,38100.8668789013,11539.1253422013
0.010040404040404,1.20290140206787,1.20222674862863,42251.8890087306,7042.58070055957
0.0150606060606061,1.27489931658214,1.27397594626612,46565.131117833,4614.95174297489
0.0200808080808081,1.34427946172385,1.34303456074799,51041.1059953629,3202.09927476587
0.0251010101010101,1.41113676888846,1.40948239421855,55679.0538178168,2327.95672178237
0.0301212121212121,1.47556616947143,1.47339774846169,60476.8108290889,1759.05910294358
0.0351414141414141,1.53766259486822,1.53485763031811,65430.7086521047,1372.80239702937
0.0401616161616162,1.5975209764743,1.593938616159,70535.8185717471,1100.98002498256
0.0451818181818182,1.65523624568512,1.65072556369657,75790.2529081751,903.73593514702
0.0502020202020202,1.71090333389615,1.70535206900148,81217.9949088302,756.775321061865
0.0552222222222222,1.76461717250284,1.75807315008973,86915.3436343297,644.733913241511
0.0602424242424242,1.81647269290066,1.8092882484544,93079.7339282152,557.57560908209
0.0652626262626263,1.86656482648507,1.85944650041831,99975.5507083279,488.556861934122
0.0702828282828283,1.91498850465152,1.90889374074375,107855.740340971,433.035529156968
0.0753030303030303,1.96183865879549,1.95777293232328,116885.067369889,387.732839889392
0.0803232323232323,2.00721022031243,2.00601883302055,127113.613267944,350.298885809033
0.0853434343434343,2.0511981205978,2.05342344622985,138470.394271762,319.005163814343
0.0903636363636364,2.09389729104707,2.09971555617642,150791.707048142,292.568844650255
0.0953838383838384,2.13540266305568,2.14462971425439,163845.226862099,270.01705141487
0.10040404040404,2.17580916801912,2.18794203308037,177369.019625486,250.61219870425
0.105424242424242,2.21521173733283,2.2294911856203,191091.669322821,233.781602588386
0.110444444444444,2.25370530239228,2.269198119966,204723.5987178,219.052566713126
0.115464646464646,2.29138479459292,2.30700463881076,218063.406064087,206.098792453729
0.120484848484848,2.32834514533023,2.34294587742828,230863.488969102,194.603343887938
0.125505050505051,2.36468128599966,2.37706461301366,242960.399017929,184.342027516792
0.130525252525253,2.40048814799666,2.40940726843203,254277.703729012,175.153277334556
0.135545454545455,2.43586066271671,2.44010217846409,264633.153558202,166.840746083112
0.140565656565657,2.47089376155527,2.46924226340186,273960.95632137,159.282829749492
0.145585858585859,2.50568237590778,2.49688098657199,282348.109084664,152.418443666897
0.150606060606061,2.54032143716973,2.52314551299786,289715.92177612,146.132653661014
0.155626262626263,2.57490587673656,2.54815937356998,295975.851138087,140.326771666214
0.160646464646465,2.60953062600374,2.57201040174922,301134.027564473,134.941906331246
0.165666666666667,2.64429061636672,2.59476660078424,305263.118224066,129.940571248919
0.170686868686869,2.67928077922098,2.61646662802131,308566.291340828,125.314282382507
0.175707070707071,2.71459604596196,2.63719805451185,311034.792716207,121.009661392878
0.180727272727273,2.75033134798514,2.65705656540617,312552.064994383,116.963053785319
0.185747474747475,2.78658161668597,2.67610544765745,313088.969462227,113.137501620604
0.190767676767677,2.82344178345992,2.6943875128097,312681.179445637,109.512147482749
0.195787878787879,2.86100677970244,2.71193290539656,311410.405170205,106.075581958115
0.200808080808081,2.89937153680899,2.7287641315172,309388.711388631,102.821672793319
0.205828282828283,2.93863098617504,2.74489902460146,306747.301889149,99.7472111076833
0.210848484848485,2.97888005919605,2.76033265795149,303815.768246357,96.8754239595245
0.215868686868687,3.02021368726748,2.77510128391983,300558.526128737,94.1795130203808
0.220888888888889,3.06272680178479,2.78924679179053,296776.447055157,91.6165448219564
0.225909090909091,3.10651433414343,2.80279004863044,292373.766077529,89.1615503180894
0.230929292929293,3.15167121573888,2.8157389608177,287333.546760218,86.8014776412965
0.235949494949495,3.1982923779666,2.82809417980916,281696.29354638,84.530888491309
0.240969696969697,3.24647275222203,2.83985303951701,275541.364947271,82.3489115395285
0.245989898989899,3.29630726990065,2.85101219391579,268971.176532447,80.2571108062953
0.251010101010101,3.34789086239792,2.86156931460386,262098.272017137,78.2580255445831
0.256030303030303,3.40131846110929,2.87152412094028,255035.28319619,76.3542055105668
0.261050505050505,3.45668499743024,2.88087894876101,247887.672046604,74.5476117323358
0.266070707070707,3.51408540275621,2.88963901238478,240749.008115697,72.839284967658
0.271090909090909,3.57361460848267,2.89781247368033,233698.419111338,71.2292067647205
0.276111111111111,3.63536754600508,2.9054100885145,226815.143556136,69.7179513837073
0.281131313131313,3.6994391467189,2.91243899191116,220567.087990849,68.3487413148754
0.286151515151515,3.7659243420196,2.91892162567754,214868.169472802,67.105940031131
0.291171717171717,3.83491806330263,2.9248823044506,209447.146257482,65.954427303681
0.296191919191919,3.90651524196345,2.93034299785119,204142.636733653,64.8712015379554
0.301212121212121,3.98081080939753,2.93532573021653,198869.525111676,63.8416358607757
0.306232323232323,4.05789969700033,2.93985381495732,193593.89175785,62.8567446590185
0.311252525252525,4.13787683616731,2.94395229320032,188314.432673944,61.9112240498438
0.316272727272727,4.22083715829393,2.94764786395129,183048.955151322,61.0020766388149
0.321292929292929,4.30687559477564,2.95096851671015,177824.859165578,60.1276701999456
0.326313131313131,4.39608707700792,2.95394301515017,172672.706300331,59.2871126859436
0.331333333333333,4.48856653638621,2.95660033287334,167622.121919708,58.479853058269
0.336353535353535,4.584408904306,2.95896910726391,162699.404520326,57.705439494171
0.341373737373737,4.68370911216272,2.96107715225338,157926.336697946,56.9633842099293
0.346393939393939,4.78656209135185,2.96295105279783,153319.803219737,56.2530980445852
0.351414141414141,4.89306277326885,2.96461585103068,148891.919516592,55.5738686664111
0.356434343434343,5.00330608930917,2.966094824955,144650.455925765,54.9248643537953
0.361454545454545,5.11738697086828,2.96740935422133,140599.408638174,54.3051512745542
0.366474747474747,5.23540034934164,2.96857886336639,136739.618611609,53.7137164948144
0.371494949494949,5.35744115612472,2.96962083043708,133069.376776083,53.1494919762674
0.376515151515152,5.48360432261296,2.97055084785787,129584.980139699,52.6113768877568
0.381535353535354,5.61398478020183,2.97138272243448,126281.221321476,52.0982569200759
0.386555555555556,5.7486774602868,2.9721286022469,123151.805724126,51.6090201520454
0.391575757575758,5.88777729426332,2.97279911961394,120189.697768975,51.1425695245336
0.39659595959596,6.03137921352686,2.97340354106782,117387.401714088,50.6978322512819
0.401616161616162,6.17957814947287,2.97394991715536,114737.184589385,50.2737666143846
0.406636363636364,6.33246903349683,2.97444522671494,112231.24945154,49.8693666170902
0.411656565656566,6.49014679699417,2.97489551194632,109861.867008504,49.4836649379381
0.416676767676768,6.65270637136038,2.97530600201953,107621.473046079,49.1157345751874
0.42169696969697,6.82024268799091,2.97568122412537,105502.738244262,48.7646895062117
0.426717171717172,6.99285067828122,2.97602510175174,103498.616050966,48.429684623217
0.431737373737374,7.17062527362678,2.97634104059932,101602.373377843,48.1099151497195
0.436757575757576,7.35366140542303,2.9766320029614,99807.6080497392,47.8046156940183
0.441777777777778,7.54205400506545,2.97690057162865,98108.2562010715,47.5130590568071
0.44679797979798,7.7358980039495,2.97714900448147,96498.5921776847,47.2345548794224
0.451818181818182,7.93528833347063,2.97737928093954,94973.2229694129,46.9684481958235
0.456838383838384,8.14031992502431,2.97759314138181,93527.0787584169,46.7141179339121
0.461858585858586,8.351087710006,2.97779212055739,92155.4008107666,46.4709753989303
0.466878787878788,8.56768661981116,2.97797757589644,90853.7276515854,46.2384627623216
0.47189898989899,8.79021158583524,2.97815071151473,89617.8802361866,46.0160515726662
0.476919191919192,9.01875753947373,2.97831259859367,88443.9466501469,45.8032413004157
0.481939393939394,9.25341941212206,2.9784641927155,87328.2667314913,45.5995579245985
0.486959595959596,9.49429213517571,2.97860634864153,86267.4168994922,45.4045525670711
0.491979797979798,9.74147064003013,2.97873983294266,85258.1953913473,45.2178001779675
0.497,9.99504985808078,2.97886533482355,84297.6080442287,45.0388982745602
